,Candidato,Número,Partido,Gênero,Naturalidade,Cor,Estado civil,Grau de instrução,Data de nascimento,Coalisão,Image URL,Idade,Total de recursos recebidos (R$),Fundo partidário,Fundo especial,Outros recursos,Recursos financeiros,Doação de pessoas físicas,Recursos estimáveis,Doação de partidos,Recursos próprios,Limite de gastos (R$),Total de despesas contratadas (R$),Total de despesas pagas (R$),Total de Bens Declarados,Vezes em que concorreu
36,CAMASÃO,50500,PSOL,Masculino,SÃO PAULO / SP,branca,Casado,Superior completo,1986-08-02,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293288.jpeg,38.0,130830.75,0.0,73.74,26.26,98.47,1.53,1.53,1.53,2.29,253058.41,82689.42,63764.42,6215.900000000001,6
37,CARLA AYRES,13044,PT,Feminino,JALES / SP,branca,Divorciada,Superior completo,1988-03-15,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149329.jpeg,36.0,176440.66,0.0,95.94,4.06,94.33,8.08,5.67,5.67,1.42,253058.41,138069.28,94369.28,119904.04,4
38,CARLA DANIELLE CORREA,30227,NOVO,Feminino,SÃO PAULO / SP,branca,Casada,Ensino Médio completo,1973-08-12,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911797.jpeg,51.0,14835.48,0.0,60.74,39.26,85.84,0.0,14.16,14.16,0.0,253058.41,8561.2,8561.2,900000.0,0
39,CARLOS BRUNO,16000,PSTU,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1985-05-18,PSTU,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149849.jpeg,39.0,9300.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,7400.0,0.0,85000.0,1
40,CHAI GUTERRES,50135,PSOL,Feminino,PORTO ALEGRE / RS,preta,Solteira,Superior incompleto,1993-01-12,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293296.jpeg,31.0,38802.04,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,14940.0,14440.0,0.0,0
41,CINTIA CRUZ,50950,PSOL,Feminino,FLORIANÓPOLIS / SC,sem informaÇÃo,Casada,Ensino Médio incompleto,1987-04-18,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293289.jpeg,37.0,36811.5,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,24000.0,12000.0,50000.0,0
42,CÍNTIA MANDATA BEM VIVER,50350,PSOL,Feminino,SÃO PAULO / SP,indÍgena,Casada,Superior completo,1979-10-06,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293300.jpeg,45.0,50169.14,0.0,77.4,22.6,100.0,9.15,0.0,0.0,0.0,253058.41,19688.97,15688.97,207000.0,2
43,CLARICE BACCA,30210,NOVO,Feminino,PERITIBA / SC,branca,Divorciada,Superior completo,1971-08-21,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911794.jpeg,53.0,14835.48,0.0,60.74,39.26,85.84,0.0,14.16,14.16,0.0,253058.41,8648.3,8648.3,40000.0,0
44,CLAUDIA BITA PEREIRA,55066,PSD,Feminino,TUBARÃO / SC,branca,Casada,Superior completo,1962-06-06,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988759.jpeg,62.0,71000.0,0.0,28.17,71.83,100.0,71.83,0.0,0.0,0.0,,,,0.0,0
45,CLAUDINEI MARQUES,10123,REPUBLICANOS,Feminino,MATELÂNDIA / PR,parda,Casada,Superior completo,1976-02-19,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947379.jpeg,48.0,70805.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,70804.0,70804.0,141323.0,3
